,p-values class
100,0.002
100,0.002
100,0.002
100,0.002
100,0.002
100,0.002
100,0.002
100,0.002
100,0.002
100,0.002
110,0.002
110,0.002
110,0.002
110,0.002
110,0.002
110,0.002
110,0.002
110,0.002
110,0.002
110,0.002
120,0.002
120,0.002
120,0.002
120,0.002
120,0.002
120,0.078
120,0.002
120,0.002
120,0.002
120,0.002
130,0.002
130,0.002
130,0.002
130,0.002
130,0.002
130,0.002
130,0.002
130,0.002
130,0.002
130,0.026
140,0.002
140,0.002
140,0.002
140,0.002
140,0.002
140,0.002
140,0.002
140,0.002
140,0.002
140,0.002
150,0.002
150,0.002
150,0.002
150,0.002
150,0.002
150,0.002
150,0.002
150,0.002
150,0.002
150,0.02
160,0.018
160,0.002
160,0.002
160,0.002
160,0.006
160,0.002
160,0.002
160,0.274
160,0.002
160,0.002
170,0.002
170,0.002
170,0.002
170,0.002
170,0.002
170,0.002
170,0.002
170,0.002
170,0.002
170,0.002
180,0.002
180,0.002
180,0.002
180,0.002
180,0.834
180,0.002
180,0.002
180,0.002
180,0.002
180,0.002
190,0.002
190,0.002
190,0.002
190,0.002
190,0.002
190,0.002
190,0.002
190,0.002
190,0.992
190,0.002
200,0.002
200,0.002
200,0.002
200,0.002
200,0.002
200,0.002
200,0.046
200,0.002
200,0.05
200,0.254
210,0.152
210,0.002
210,0.84
210,0.002
210,0.002
210,0.002
210,0.002
210,0.002
210,0.002
210,0.002
220,0.002
220,0.002
220,0.002
220,0.002
220,0.002
220,0.248
220,0.302
220,0.002
220,0.002
220,0.002
230,0.002
230,0.002
230,0.002
230,0.002
230,0.002
230,0.002
230,0.002
230,0.002
230,0.002
230,0.002
240,0.002
240,0.002
240,0.002
240,0.33
240,0.002
240,0.002
240,0.002
240,0.002
240,0.002
240,0.002
250,0.002
250,0.002
250,0.002
250,0.002
250,0.002
250,0.002
250,0.002
250,0.002
250,0.012
250,0.002
260,0.002
260,0.002
260,0.002
260,0.002
260,0.002
260,0.002
260,0.002
260,0.002
260,0.002
260,0.002
270,0.002
270,0.002
270,0.002
270,0.002
270,0.002
270,0.002
270,0.002
270,0.002
270,0.002
270,0.002
280,0.002
280,0.138
280,0.03
280,0.002
280,0.002
280,0.002
280,0.002
280,0.002
280,0.002
280,0.052
290,0.002
290,0.002
290,0.002
290,0.002
290,0.002
290,0.002
290,0.002
290,0.002
290,0.002
290,0.002
300,0.002
300,0.002
300,0.002
300,0.002
300,0.002
300,0.002
300,0.002
300,0.002
300,0.034
300,0.002
